item,itemLabel,itemDescription
http://www.wikidata.org/entity/Q106249400,Mbuun,human language
http://www.wikidata.org/entity/Q58635,Punjabi,South Asian language originating in the Punjab region of Pakistan and India
http://www.wikidata.org/entity/Q1185127,Louisiana Creole,French-based creole in Louisiana
http://www.wikidata.org/entity/Q56622,Gedeo,language
http://www.wikidata.org/entity/Q56703,Tamahaq,language
http://www.wikidata.org/entity/Q1217976,Nigerian Arabic,variant of Arabic spoken in Nigeria
http://www.wikidata.org/entity/Q1687911,Jersey Dutch,Dutch dialect spoken in New Jersey
http://www.wikidata.org/entity/Q7599417,Andaman Creole Hindi,trade language of the Andaman Islands
http://www.wikidata.org/entity/Q4913707,Bimbashi Arabic,pidgin developed among troops in Anglo-Egyptian Sudan
http://www.wikidata.org/entity/Q29507,Asturian,Romance language of the West Iberian group
http://www.wikidata.org/entity/Q2719893,Javindo,Dutch-based creole language spoken on Java
http://www.wikidata.org/entity/Q105197086,Old Cham,Austronesian language of Vietnam and Cambodia
http://www.wikidata.org/entity/Q1321,Spanish,Romanic language originating in the central part of the Iberian Peninsula
http://www.wikidata.org/entity/Q36489,Ovambo,Bantu language
http://www.wikidata.org/entity/Q8083168,Żejtun dialect,dialect of Maltese spoken in Żejtun
http://www.wikidata.org/entity/Q56782,Angevin,Oïl Language of Anjou
http://www.wikidata.org/entity/Q7976,American English,set of dialects of the English language spoken in the United States
http://www.wikidata.org/entity/Q37059,Bishnupriya Manipuri,"language native to Manipur, Tripura, Sylhet, and Assam"
http://www.wikidata.org/entity/Q37560,Vulgar Latin,non-standard Latin variety spoken by the people of Ancient Rome
http://www.wikidata.org/entity/Q113456590,American Norwegian,set of varieties of the Norwegian language native to the United States
http://www.wikidata.org/entity/Q56497,Chadian Arabic,variant of Arabic spoken in Chad
http://www.wikidata.org/entity/Q5516174,Gacería,"Linguistic variant of the workers of Cantalejo, Segovia"
http://www.wikidata.org/entity/Q7288630,Rama Cay Creole,creole spoken on the island of Rama Cay
http://www.wikidata.org/entity/Q2522153,Skepi Creole Dutch,Dutch-based creole language
http://www.wikidata.org/entity/Q8785,Armenian,Indo-European language
http://www.wikidata.org/entity/Q35215,Berbice Creole Dutch,extinct Dutch-based creole language of Guyana
http://www.wikidata.org/entity/Q16918610,Waitaká,extinct indigenous language of Brazil
http://www.wikidata.org/entity/Q16930672,Papuan Pidgin English,19th-century English-based pidgin of New Guinea
http://www.wikidata.org/entity/Q7268120,Qormi dialect,dialect of Maltese
http://www.wikidata.org/entity/Q107610173,Fogaha,extinct language
http://www.wikidata.org/entity/Q13310,Navajo,Athabaskan language of Na-Dené stock spoken in the southwestern United States
http://www.wikidata.org/entity/Q5326738,Early Scots,language of Northern Britain descended from Middle English
http://www.wikidata.org/entity/Q2665246,Torwali,language spoken in the Swat District of Pakistan
http://www.wikidata.org/entity/Q9168,Persian,Western Iranian language
http://www.wikidata.org/entity/Q443089,Old Dutch,set of Franconian dialects spoke in the Low Countries during the Early Middle Ages
http://www.wikidata.org/entity/Q32238,Dagbani,Gur/Mabia language spoken in Ghana
http://www.wikidata.org/entity/Q33739,Pahari-Potwari,distinctive western Punjabi dialect
http://www.wikidata.org/entity/Q382273,Hindko,language of Pakistan
http://www.wikidata.org/entity/Q3504186,Babalia Creole Arabic,creolized form of Chadian Arabic spoken by the Babalia
http://www.wikidata.org/entity/Q150,French,Romance language
http://www.wikidata.org/entity/Q2922261,Bourbonnais,Oïl language in France
http://www.wikidata.org/entity/Q3877551,Kalkoti,language
http://www.wikidata.org/entity/Q33491,Haitian Creole,language spoken in Haiti
http://www.wikidata.org/entity/Q14549,Scots,Germanic language
http://www.wikidata.org/entity/Q33973,Sicilian,Italo-Dalmatian language spoken in Southern Italy
http://www.wikidata.org/entity/Q1785111,Mohawk Dutch,Dutch-based creole spoken around the Mohawk River
http://www.wikidata.org/entity/Q1860,English,West Germanic language
http://www.wikidata.org/entity/Q1975271,Taivoan,Formosan language
http://www.wikidata.org/entity/Q9067,Hungarian,Uralic language
http://www.wikidata.org/entity/Q33537,Lakota,Siouan language spoken by the Lakota people of the Sioux tribes
http://www.wikidata.org/entity/Q33856,Papiamento,creole language spoken in the Dutch West Indies
http://www.wikidata.org/entity/Q36206,Lak,Northeast Caucasian language
http://www.wikidata.org/entity/Q5072718,Chaná,language belonging to the Charruan language family
http://www.wikidata.org/entity/Q9166,Maltese,Semitic language spoken mostly in Malta
